,Open,High,Low,Close,ma_diff,sar_diff,trend
06-05-2022 22:00,35983.90234375,36048.5859375,35925.26171875,36044.484375,-240.6634472271253,-41.01823250992311,Downtrend
06-05-2022 23:00,36044.9921875,36114.47265625,36023.10546875,36041.23046875,-215.62109493475873,-642.6189759888293,Downtrend
07-05-2022 00:00,36042.50390625,36056.36328125,35979.4609375,36015.5390625,-199.78807139142737,12.646796875000291,Downtrend
07-05-2022 01:00,36016.93359375,36048.79296875,35957.57421875,36021.14453125,-182.56087982509052,12.393860937496356,Downtrend
07-05-2022 02:00,36021.0625,36027.12109375,35955.484375,35970.6171875,-178.40461184221203,12.145983718750358,Downtrend
07-05-2022 03:00,35968.3984375,35968.3984375,35835.625,35860.29296875,-196.50168921073055,11.903064044374332,Downtrend
07-05-2022 04:00,35863.5234375,35868.5390625,35785.62890625,35797.3828125,-216.15784643821826,11.66500276348961,Downtrend
07-05-2022 05:00,35798.24609375,35894.296875,35769.9375,35883.5703125,-200.63095408533263,11.431702708214289,Downtrend
07-05-2022 06:00,35889.6328125,35915.48828125,35811.60546875,35830.1328125,-197.61950459993386,11.203068654052913,Downtrend
07-05-2022 07:00,35830.97265625,35945.77734375,35816.28125,35940.07421875,-163.35291438731656,10.979007280970109,Downtrend
07-05-2022 08:00,35934.91015625,36041.7109375,35909.18359375,36034.359375,-115.0495239015363,10.75942713535187,Downtrend
07-05-2022 09:00,36027.42578125,36040.59375,35987.19921875,36005.4375,-89.14794038943364,10.544238592643524,Downtrend
07-05-2022 10:00,35999.8359375,36096.94921875,35978.8203125,36058.57421875,-58.043069984843896,10.33335382079531,Downtrend
07-05-2022 11:00,36067.76171875,36129.92578125,36045.9375,36049.04296875,-39.70811021748523,10.126686744377366,Downtrend
07-05-2022 12:00,36049.16015625,36057.1484375,35989.609375,36017.60546875,-34.87347225566191,20.466431018976436,Downtrend
07-05-2022 13:00,36021.9765625,36040.40625,35911.04296875,35913.1796875,-55.713528314227005,19.647773778218834,Downtrend
07-05-2022 14:00,35917.7734375,35986.69140625,35904.25390625,35985.32421875,-49.33776807369577,18.86186282709241,Downtrend
07-05-2022 15:00,35985.3359375,36040.3828125,35966.24609375,35971.25,-47.276797533420904,18.10738831400522,Downtrend
07-05-2022 16:00,35974.98828125,35989.97265625,35918.67578125,35950.3515625,-49.508640182670206,17.383092781448795,Downtrend
07-05-2022 17:00,35955.66015625,35971.6796875,35901.125,35903.45703125,-60.44849270737177,16.68776907018764,Downtrend
07-05-2022 18:00,35904.08984375,35993.046875,35890.95703125,35922.51171875,-60.59130378712143,16.02025830738421,Downtrend
07-05-2022 19:00,35924.72265625,35941.18359375,35886.50390625,35886.83203125,-67.24907404038822,15.379447975086805,Downtrend
07-05-2022 20:00,35885.66796875,35885.66796875,35771.03125,35812.59765625,-86.80483192202519,369.1067514020833,Downtrend
07-05-2022 21:00,35797.51171875,35811.64453125,35251.19140625,35251.19140625,-229.51281423406908,-7.1778906249965075,Downtrend
07-05-2022 22:00,35234.81640625,35280.32421875,34940.82421875,35024.6640625,-362.2396055934223,-34.86225937499694,Downtrend
07-05-2022 23:00,35039.8203125,35631.07421875,35039.8203125,35516.6015625,-313.66938909292367,-68.82368475000112,Downtrend
08-05-2022 00:00,35502.94140625,35502.94140625,35196.37109375,35196.37109375,-350.6606593476099,-64.69426366499829,Downtrend
08-05-2022 01:00,35191.53125,35239.375,34895.234375,34919.99609375,-427.6443411092405,-60.81260784510232,Downtrend
08-05-2022 02:00,34918.796875,34918.796875,34501.46875,34608.6484375,-534.6333263231063,-79.86565599919413,Downtrend
08-05-2022 03:00,34601.68359375,34613.7578125,34379.5546875,34500.57421875,-607.9258353188343,-131.22206689907034,Downtrend
08-05-2022 04:00,34505.46484375,34663.2421875,34480.796875,34480.796875,-637.543673849781,-156.3495197509983,Downtrend
08-05-2022 05:00,34475.62890625,34475.62890625,34378.04296875,34448.20703125,-642.9284067502012,-137.58757738088025,Downtrend
08-05-2022 06:00,34451.60546875,34863.54296875,34451.60546875,34791.96484375,-543.9188170552079,-141.46822006936418,Downtrend
08-05-2022 07:00,34784.9765625,34873.6328125,34656.6875,34656.6875,-499.1403744160052,-121.66266925965465,Downtrend
08-05-2022 08:00,34654.8046875,34701.3203125,34553.6640625,34693.17578125,-447.59774286248285,-104.62989556330285,Downtrend
08-05-2022 09:00,34692.8203125,34699.921875,34569.8046875,34590.08203125,-426.8452153266262,-89.98171018443827,Downtrend
08-05-2022 10:00,34590.1328125,34777.4453125,34565.53125,34736.70703125,-365.86646172320616,-77.38427075862273,Downtrend
08-05-2022 11:00,34737.5078125,34834.5,34734.19140625,34783.015625,-306.4449622529428,-475.3605203743791,Downtrend
08-05-2022 12:00,34784.15625,34818.76171875,34632.125,34644.0546875,-293.960948889835,9.129140625002037,Downtrend
08-05-2022 13:00,34645.78125,34661.25,34443.84375,34443.84375,-324.7680863012938,8.946557812501851,Downtrend
08-05-2022 14:00,34445.27734375,34552.015625,34395.13671875,34466.62109375,-327.6168941232463,438.3813328124961,Downtrend
08-05-2022 15:00,34465.38671875,34585.78125,34434.109375,34440.37890625,-325.18282621035905,-8.787265624996508,Downtrend
08-05-2022 16:00,34431.90234375,34527.36328125,34380.65234375,34416.2421875,-319.1382317363823,-8.611520312500943,Downtrend
08-05-2022 17:00,34412.33203125,34412.33203125,33878.96484375,34058.91015625,-390.43996848663664,-17.45795481249661,Downtrend
08-05-2022 18:00,34071.0,34572.89453125,33932.23828125,34516.59375,-312.0801613959411,-55.24070493000181,Downtrend
08-05-2022 19:00,34514.7734375,34672.2734375,34513.02734375,34589.09765625,-237.64537431675853,-51.92626263420243,Downtrend
08-05-2022 20:00,34593.2265625,34600.48046875,34300.46484375,34309.77734375,-251.70873987005325,-20.202854185801698,Downtrend
08-05-2022 21:00,34296.3203125,34461.84765625,34286.6953125,34459.99609375,-216.43428211267747,0.0,Downtrend
08-05-2022 22:00,34461.640625,34461.640625,34152.12109375,34298.51171875,-226.73535617608286,-47.59851562500262,Downtrend
08-05-2022 23:00,34295.76953125,34295.76953125,33979.34375,34026.7421875,-290.45778587143286,-44.74260468749708,Downtrend
09-05-2022 00:00,34060.015625,34191.234375,34039.796875,34163.02734375,-287.2238082989061,-42.058048406252055,Downtrend
09-05-2022 01:00,34162.78125,34222.07421875,34083.22265625,34088.24609375,-293.9599985472523,-39.53456550187548,Downtrend
09-05-2022 02:00,34087.44921875,34087.44921875,33393.61328125,33422.03515625,-447.31268576697767,-37.162491571762075,Downtrend
09-05-2022 03:00,33428.98828125,33771.390625,33428.98828125,33611.7734375,-480.43494805373484,-85.40511443660944,Downtrend
09-05-2022 04:00,33602.9375,33797.05859375,33554.0703125,33669.26953125,-471.47200622102537,-78.5727052816801,Downtrend
09-05-2022 05:00,33672.86328125,33716.31640625,33511.34765625,33527.7109375,-484.80284914427466,-72.28688885914744,Downtrend
09-05-2022 06:00,33525.33984375,33568.24609375,33407.70703125,33557.9375,-470.25630779974745,-66.50393775041448,Downtrend
09-05-2022 07:00,33563.56640625,33710.484375,33549.45703125,33559.95703125,-446.0725910467081,-61.183622730379284,Downtrend
09-05-2022 08:00,33553.19140625,33630.28515625,33247.55078125,33623.9453125,-402.0892475949804,-56.288932911949814,Downtrend
