,Open,High,Low,Close,ma_diff,sar_diff,trend
06-05-2022 20:00,36013.05859375,36101.62890625,35899.015625,36098.34765625,-125.29756049269054,16.152828281978145,Downtrend
06-05-2022 21:00,36091.09375,36094.84375,35948.96484375,35983.3125,-128.68409281925415,15.829771716336836,Downtrend
06-05-2022 22:00,35983.90234375,36048.5859375,35925.26171875,36044.484375,-112.07682167275925,15.513176282009226,Downtrend
06-05-2022 23:00,36044.9921875,36114.47265625,36023.10546875,36041.23046875,-99.27648273367231,15.20291275636555,Downtrend
07-05-2022 00:00,36042.50390625,36056.36328125,35979.4609375,36015.5390625,-94.52101048918848,14.898854501239839,Downtrend
07-05-2022 01:00,36016.93359375,36048.79296875,35957.57421875,36021.14453125,-87.31732798888697,14.600877411219699,Downtrend
07-05-2022 02:00,36021.0625,36027.12109375,35955.484375,35970.6171875,-92.2305909295319,14.308859862991085,Downtrend
07-05-2022 03:00,35968.3984375,35968.3984375,35835.625,35860.29296875,-118.53386221739493,14.022682665730827,Downtrend
07-05-2022 04:00,35863.5234375,35868.5390625,35785.62890625,35797.3828125,-145.61495631666912,13.742229012415919,Downtrend
07-05-2022 05:00,35798.24609375,35894.296875,35769.9375,35883.5703125,-136.80605414427555,13.467384432166,Downtrend
07-05-2022 06:00,35889.6328125,35915.48828125,35811.60546875,35830.1328125,-139.8729130198335,13.198036743524426,Downtrend
07-05-2022 07:00,35830.97265625,35945.77734375,35816.28125,35940.07421875,-111.10582917033753,12.93407600865612,Downtrend
07-05-2022 08:00,35934.91015625,36041.7109375,35909.18359375,36034.359375,-67.77823887873092,12.675394488484017,Downtrend
07-05-2022 09:00,36027.42578125,36040.59375,35987.19921875,36005.4375,-46.37860738922609,12.421886598713172,Downtrend
07-05-2022 10:00,35999.8359375,36096.94921875,35978.8203125,36058.57421875,-19.34695671256486,12.17344886673527,Downtrend
07-05-2022 11:00,36067.76171875,36129.92578125,36045.9375,36049.04296875,-4.697307678623474,11.92997988940624,Downtrend
07-05-2022 12:00,36049.16015625,36057.1484375,35989.609375,36017.60546875,-3.1970096048607957,11.691380291616952,Downtrend
07-05-2022 13:00,36021.9765625,36040.40625,35911.04296875,35913.1796875,-27.053856791164435,11.457552685780684,Downtrend
07-05-2022 14:00,35917.7734375,35986.69140625,35904.25390625,35985.32421875,-23.40757918397867,11.228401632070018,Downtrend
07-05-2022 15:00,35985.3359375,36040.3828125,35966.24609375,35971.25,-23.81614384761633,11.00383359942498,Downtrend
07-05-2022 16:00,35974.98828125,35989.97265625,35918.67578125,35950.3515625,-28.28233007020026,10.783756927434297,Downtrend
07-05-2022 17:00,35955.66015625,35971.6796875,35901.125,35903.45703125,-41.243733007780975,10.568081788886047,Downtrend
07-05-2022 18:00,35904.08984375,35993.046875,35890.95703125,35922.51171875,-43.215566866711015,10.356720153111382,Downtrend
07-05-2022 19:00,35924.72265625,35941.18359375,35886.50390625,35886.83203125,-51.52816790490033,10.149585750048573,Downtrend
07-05-2022 20:00,35885.66796875,35885.66796875,35771.03125,35812.59765625,-72.5811540738141,497.32970175240916,Downtrend
07-05-2022 21:00,35797.51171875,35811.64453125,35251.19140625,35251.19140625,-216.64377179240546,-11.734375,Downtrend
07-05-2022 22:00,35234.81640625,35280.32421875,34940.82421875,35024.6640625,-350.59618585544376,-43.79296875,Downtrend
07-05-2022 23:00,35039.8203125,35631.07421875,35039.8203125,35516.6015625,-303.13486621552147,-81.68390625000029,Downtrend
08-05-2022 00:00,35502.94140625,35502.94140625,35196.37109375,35196.37109375,-341.12942419173487,-76.78287187500246,Downtrend
08-05-2022 01:00,35191.53125,35239.375,34895.234375,34919.99609375,-419.0208425205128,-72.17589956249867,Downtrend
08-05-2022 02:00,34918.796875,34918.796875,34501.46875,34608.6484375,-526.8311132380113,-94.10764828499669,Downtrend
08-05-2022 03:00,34601.68359375,34613.7578125,34379.5546875,34500.57421875,-600.8666900957687,-147.60035802775383,Downtrend
08-05-2022 04:00,34505.46484375,34663.2421875,34480.796875,34480.796875,-631.1568281378859,-174.03807416997006,Downtrend
08-05-2022 05:00,34475.62890625,34475.62890625,34378.04296875,34448.20703125,-637.1498320358951,-153.15350526957627,Downtrend
08-05-2022 06:00,34451.60546875,34863.54296875,34451.60546875,34791.96484375,-538.6905827748269,-157.4492393684268,Downtrend
08-05-2022 07:00,34784.9765625,34873.6328125,34656.6875,34656.6875,-494.410067199904,-135.40634585684893,Downtrend
08-05-2022 08:00,34654.8046875,34701.3203125,34553.6640625,34693.17578125,-443.3179410888406,-116.44945743688731,Downtrend
